status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,default,amount_per_month,age_group,duration_group,amount_group
... < 100 DM,24,existing credits paid back duly till now,radio/television,3149,... < 100 DM,... < 1 year,4,male : single,none,1,unknown/no property,22,bank,for free,1,skilled employee/official,1,no,yes,0,131.20833333333334,under_25,medium_term,large
... >= 200 DM / salary for at least 1 year,36,existing credits paid back duly till now,domestic appliances,4210,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,26,none,own,1,skilled employee/official,1,no,yes,1,116.94444444444444,25-35,long_term,large
no checking account,9,existing credits paid back duly till now,car (new),2507,500 <= ... < 1000 DM,... >= 7 years,2,male : single,none,4,unknown/no property,51,none,for free,1,unskilled - resident,1,no,yes,0,278.55555555555554,over_50,short_term,large
no checking account,12,existing credits paid back duly till now,domestic appliances,2141,100 <= ... < 500 DM,4 <= ... < 7 years,3,male : single,none,1,unknown/no property,35,none,own,1,skilled employee/official,1,no,yes,0,178.41666666666666,25-35,short_term,large
0 <= ... < 200 DM,18,existing credits paid back duly till now,domestic appliances,866,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,guarantor,2,real estate,25,none,own,1,unskilled - resident,1,no,yes,0,48.111111111111114,under_25,medium_term,smallmedium
no checking account,4,critical account/other credits existing,domestic appliances,1544,... < 100 DM,4 <= ... < 7 years,2,male : single,none,1,real estate,42,none,own,3,unskilled - resident,2,no,yes,0,386.0,36-50,short_term,smallmedium
... < 100 DM,24,existing credits paid back duly till now,domestic appliances,1823,... < 100 DM,unemployed,4,male : single,none,2,car or other,30,stores,own,1,management/self-employed/highly qualified employee/officer,2,no,yes,1,75.95833333333333,25-35,medium_term,smallmedium
0 <= ... < 200 DM,6,existing credits paid back duly till now,car (new),14555,unknown/no savings account,unemployed,1,male : single,none,2,building society savings agreement/life insurance,23,none,own,1,unemployed/unskilled - non-resident,1,yes,yes,1,2425.8333333333335,under_25,short_term,too_much
0 <= ... < 200 DM,21,existing credits paid back duly till now,others,2767,100 <= ... < 500 DM,... >= 7 years,4,male : divorced/separated,none,2,car or other,61,bank,rent,2,unskilled - resident,1,no,yes,1,131.76190476190476,over_50,medium_term,large
no checking account,12,critical account/other credits existing,domestic appliances,1291,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,building society savings agreement/life insurance,35,none,own,2,skilled employee/official,1,no,yes,0,107.58333333333333,25-35,short_term,smallmedium
... < 100 DM,30,existing credits paid back duly till now,domestic appliances,2522,... < 100 DM,... >= 7 years,1,male : single,guarantor,3,building society savings agreement/life insurance,39,none,own,1,skilled employee/official,2,no,yes,0,84.06666666666666,36-50,long_term,large
... < 100 DM,24,existing credits paid back duly till now,car (new),915,unknown/no savings account,... >= 7 years,4,female : divorced/separated/married,none,2,car or other,29,bank,own,1,skilled employee/official,1,no,yes,1,38.125,25-35,medium_term,smallmedium
no checking account,6,existing credits paid back duly till now,domestic appliances,1595,... < 100 DM,4 <= ... < 7 years,3,male : single,none,2,building society savings agreement/life insurance,51,none,own,1,skilled employee/official,2,no,yes,0,265.8333333333333,over_50,short_term,smallmedium
... < 100 DM,48,no credits taken/all credits paid back duly,car (used),4605,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown/no property,24,none,for free,2,skilled employee/official,2,no,yes,1,95.9375,under_25,very_long_term,large
no checking account,12,critical account/other credits existing,others,1185,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,27,none,own,2,skilled employee/official,1,no,yes,0,98.75,25-35,short_term,smallmedium
no checking account,12,all credits at this bank paid back duly,business,3447,500 <= ... < 1000 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,3,real estate,35,none,own,1,unskilled - resident,2,no,yes,0,287.25,25-35,short_term,large
no checking account,24,existing credits paid back duly till now,others,1258,... < 100 DM,4 <= ... < 7 years,4,male : single,none,1,real estate,25,none,own,1,skilled employee/official,1,yes,yes,0,52.416666666666664,under_25,medium_term,smallmedium
no checking account,12,critical account/other credits existing,domestic appliances,717,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,52,none,own,3,skilled employee/official,1,no,yes,0,59.75,over_50,short_term,smallmedium
no checking account,6,no credits taken/all credits paid back duly,car (new),1204,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,1,unknown/no property,35,bank,rent,1,skilled employee/official,1,no,no,0,200.66666666666666,25-35,short_term,smallmedium
... >= 200 DM / salary for at least 1 year,24,existing credits paid back duly till now,radio/television,1925,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,26,none,own,1,skilled employee/official,1,no,yes,0,80.20833333333333,25-35,medium_term,smallmedium
no checking account,18,existing credits paid back duly till now,domestic appliances,433,... < 100 DM,unemployed,3,female : divorced/separated/married,co-applicant,4,real estate,22,none,rent,1,skilled employee/official,1,no,yes,1,24.055555555555557,under_25,medium_term,smallmedium
... < 100 DM,6,critical account/other credits existing,car (new),666,... >= 1000 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,real estate,39,none,own,2,unskilled - resident,1,yes,yes,0,111.0,36-50,short_term,smallmedium
... >= 200 DM / salary for at least 1 year,12,existing credits paid back duly till now,radio/television,2251,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,car or other,46,none,own,1,unskilled - resident,1,no,yes,0,187.58333333333334,36-50,short_term,large
0 <= ... < 200 DM,30,existing credits paid back duly till now,car (new),2150,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,2,unknown/no property,24,bank,own,1,skilled employee/official,1,no,yes,1,71.66666666666667,under_25,long_term,large
no checking account,24,delay in paying off in the past,radio/television,4151,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : single,none,3,building society savings agreement/life insurance,35,none,own,2,skilled employee/official,1,no,yes,0,172.95833333333334,25-35,medium_term,large
0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,2030,unknown/no savings account,4 <= ... < 7 years,2,male : single,none,1,car or other,24,none,own,1,skilled employee/official,1,yes,yes,0,225.55555555555554,under_25,short_term,large
0 <= ... < 200 DM,60,delay in paying off in the past,domestic appliances,7418,unknown/no savings account,1 <= ... < 4 years,1,male : single,none,1,real estate,27,none,own,1,unskilled - resident,1,no,yes,0,123.63333333333334,25-35,very_long_term,very_large
no checking account,24,critical account/other credits existing,domestic appliances,2684,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,real estate,35,none,own,2,unskilled - resident,1,no,yes,0,111.83333333333333,25-35,medium_term,large
... < 100 DM,12,all credits at this bank paid back duly,domestic appliances,2149,... < 100 DM,1 <= ... < 4 years,4,male : divorced/separated,none,1,unknown/no property,29,none,for free,1,skilled employee/official,1,no,yes,1,179.08333333333334,25-35,short_term,large
no checking account,15,existing credits paid back duly till now,car (used),3812,100 <= ... < 500 DM,... < 1 year,1,female : divorced/separated/married,none,4,car or other,23,none,own,1,skilled employee/official,1,yes,yes,0,254.13333333333333,under_25,medium_term,large
no checking account,11,critical account/other credits existing,domestic appliances,1154,100 <= ... < 500 DM,unemployed,4,female : divorced/separated/married,none,4,real estate,57,none,own,3,unskilled - resident,1,no,yes,0,104.9090909090909,over_50,short_term,smallmedium
... < 100 DM,12,existing credits paid back duly till now,radio/television,1657,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,27,none,own,1,skilled employee/official,1,no,yes,0,138.08333333333334,25-35,short_term,smallmedium
... < 100 DM,24,existing credits paid back duly till now,domestic appliances,1603,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,car or other,55,none,own,1,skilled employee/official,1,no,yes,0,66.79166666666667,over_50,medium_term,smallmedium
... < 100 DM,18,critical account/other credits existing,car (new),5302,... < 100 DM,... >= 7 years,2,male : single,none,4,unknown/no property,36,none,for free,3,management/self-employed/highly qualified employee/officer,1,yes,yes,0,294.55555555555554,36-50,medium_term,very_large
no checking account,12,critical account/other credits existing,retraining,2748,... < 100 DM,... >= 7 years,2,female : divorced/separated/married,none,4,unknown/no property,57,bank,for free,3,unskilled - resident,1,no,yes,0,229.0,over_50,short_term,large
no checking account,10,critical account/other credits existing,car (new),1231,... < 100 DM,... >= 7 years,3,male : single,none,4,real estate,32,none,own,2,unskilled - resident,2,no,no,0,123.1,25-35,short_term,smallmedium
0 <= ... < 200 DM,15,existing credits paid back duly till now,domestic appliances,802,... < 100 DM,... >= 7 years,4,male : single,none,3,car or other,37,none,own,1,skilled employee/official,2,no,yes,1,53.46666666666667,36-50,medium_term,smallmedium
no checking account,36,critical account/other credits existing,others,6304,unknown/no savings account,... >= 7 years,4,male : single,none,4,real estate,36,none,own,2,skilled employee/official,1,no,yes,0,175.11111111111111,36-50,long_term,very_large
no checking account,24,existing credits paid back duly till now,domestic appliances,1533,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,3,car or other,38,stores,own,1,skilled employee/official,1,yes,yes,0,63.875,36-50,medium_term,smallmedium
... < 100 DM,14,existing credits paid back duly till now,car (new),8978,... < 100 DM,... >= 7 years,1,male : divorced/separated,none,4,building society savings agreement/life insurance,45,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,no,1,641.2857142857143,36-50,medium_term,very_large
no checking account,24,existing credits paid back duly till now,domestic appliances,999,unknown/no savings account,... >= 7 years,4,male : single,none,2,car or other,25,none,own,2,skilled employee/official,1,no,yes,0,41.625,under_25,medium_term,smallmedium
no checking account,18,existing credits paid back duly till now,car (new),2662,unknown/no savings account,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/life insurance,32,none,own,1,skilled employee/official,1,no,no,0,147.88888888888889,25-35,medium_term,large
no checking account,12,critical account/other credits existing,radio/television,1402,500 <= ... < 1000 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,car or other,37,none,rent,1,skilled employee/official,1,yes,yes,0,116.83333333333333,36-50,short_term,smallmedium
0 <= ... < 200 DM,48,all credits at this bank paid back duly,car (new),12169,unknown/no savings account,unemployed,4,male : single,co-applicant,4,unknown/no property,36,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,253.52083333333334,36-50,very_long_term,too_much
0 <= ... < 200 DM,48,existing credits paid back duly till now,domestic appliances,3060,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,real estate,28,none,own,2,skilled employee/official,1,no,yes,1,63.75,25-35,very_long_term,large
... < 100 DM,30,existing credits paid back duly till now,education,11998,... < 100 DM,... < 1 year,1,male : divorced/separated,none,1,unknown/no property,34,none,own,1,unskilled - resident,1,yes,yes,1,399.93333333333334,25-35,long_term,too_much
no checking account,9,existing credits paid back duly till now,domestic appliances,2697,... < 100 DM,1 <= ... < 4 years,1,male : single,none,2,real estate,32,none,own,1,skilled employee/official,2,no,yes,0,299.6666666666667,25-35,short_term,large
no checking account,18,critical account/other credits existing,domestic appliances,2404,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,car or other,26,none,own,2,skilled employee/official,1,no,yes,0,133.55555555555554,25-35,medium_term,large
... < 100 DM,12,existing credits paid back duly till now,radio/television,1262,unknown/no savings account,... >= 7 years,2,male : divorced/separated,none,4,building society savings agreement/life insurance,49,none,own,1,unskilled - resident,1,yes,yes,0,105.16666666666667,36-50,short_term,smallmedium
no checking account,6,existing credits paid back duly till now,radio/television,4611,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,4,building society savings agreement/life insurance,32,none,own,1,skilled employee/official,1,no,yes,1,768.5,25-35,short_term,large
no checking account,24,existing credits paid back duly till now,domestic appliances,1901,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,4,car or other,29,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,79.20833333333333,25-35,medium_term,smallmedium
no checking account,15,critical account/other credits existing,car (used),3368,... >= 1000 DM,... >= 7 years,3,male : single,none,4,unknown/no property,23,none,rent,2,skilled employee/official,1,yes,yes,0,224.53333333333333,under_25,medium_term,large
no checking account,12,existing credits paid back duly till now,radio/television,1574,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,real estate,50,none,own,1,skilled employee/official,1,no,yes,0,131.16666666666666,36-50,short_term,smallmedium
... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,domestic appliances,1445,unknown/no savings account,4 <= ... < 7 years,4,male : single,none,4,car or other,49,bank,own,1,unskilled - resident,1,no,yes,0,80.27777777777777,36-50,medium_term,smallmedium
no checking account,15,critical account/other credits existing,radio/television,1520,unknown/no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,63,none,own,1,skilled employee/official,1,no,yes,0,101.33333333333333,over_50,medium_term,smallmedium
0 <= ... < 200 DM,24,critical account/other credits existing,car (new),3878,100 <= ... < 500 DM,... < 1 year,4,male : divorced/separated,none,2,car or other,37,none,own,1,skilled employee/official,1,yes,yes,0,161.58333333333334,36-50,medium_term,large
... < 100 DM,47,existing credits paid back duly till now,car (new),10722,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,1,real estate,35,none,own,1,unskilled - resident,1,yes,yes,0,228.12765957446808,25-35,very_long_term,too_much
... < 100 DM,48,existing credits paid back duly till now,car (used),4788,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/life insurance,26,none,own,1,skilled employee/official,2,no,yes,0,99.75,25-35,very_long_term,large
0 <= ... < 200 DM,48,delay in paying off in the past,furniture/equipment,7582,100 <= ... < 500 DM,unemployed,2,male : single,none,4,unknown/no property,31,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,157.95833333333334,25-35,very_long_term,very_large
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1092,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,4,real estate,49,none,own,2,skilled employee/official,1,yes,yes,0,91.0,36-50,short_term,smallmedium
... < 100 DM,24,delay in paying off in the past,domestic appliances,1024,... < 100 DM,... < 1 year,4,male : married/widowed,none,4,real estate,48,stores,own,1,skilled employee/official,1,no,yes,1,42.666666666666664,36-50,medium_term,smallmedium
no checking account,12,existing credits paid back duly till now,others,1076,... < 100 DM,1 <= ... < 4 years,2,male : married/widowed,none,2,real estate,26,none,own,1,skilled employee/official,1,yes,no,0,89.66666666666667,25-35,short_term,smallmedium
0 <= ... < 200 DM,36,existing credits paid back duly till now,car (used),9398,... < 100 DM,... < 1 year,1,male : married/widowed,none,4,car or other,28,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,261.05555555555554,25-35,long_term,very_large
... < 100 DM,24,critical account/other credits existing,car (used),6419,... < 100 DM,... >= 7 years,2,female : divorced/separated/married,none,4,unknown/no property,44,none,for free,2,management/self-employed/highly qualified employee/officer,2,yes,yes,0,267.4583333333333,36-50,medium_term,very_large
... >= 200 DM / salary for at least 1 year,42,critical account/other credits existing,car (used),4796,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,56,none,for free,1,skilled employee/official,1,no,yes,0,114.19047619047619,over_50,very_long_term,large
no checking account,48,critical account/other credits existing,others,7629,unknown/no savings account,... >= 7 years,4,male : divorced/separated,none,2,car or other,46,bank,own,2,management/self-employed/highly qualified employee/officer,2,no,yes,0,158.9375,36-50,very_long_term,very_large
0 <= ... < 200 DM,48,existing credits paid back duly till now,radio/television,9960,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,2,car or other,26,none,own,1,skilled employee/official,1,yes,yes,1,207.5,25-35,very_long_term,very_large
no checking account,12,existing credits paid back duly till now,car (used),4675,unknown/no savings account,... < 1 year,1,female : divorced/separated/married,none,4,car or other,20,none,rent,1,skilled employee/official,1,no,yes,0,389.5833333333333,under_25,short_term,large
no checking account,10,existing credits paid back duly till now,car (new),1287,unknown/no savings account,... >= 7 years,4,male : single,co-applicant,2,building society savings agreement/life insurance,45,none,own,1,unskilled - resident,1,no,no,0,128.7,36-50,short_term,smallmedium
no checking account,18,existing credits paid back duly till now,radio/television,2515,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,real estate,43,none,own,1,skilled employee/official,1,yes,yes,0,139.72222222222223,36-50,medium_term,large
0 <= ... < 200 DM,21,critical account/other credits existing,radio/television,2745,... >= 1000 DM,4 <= ... < 7 years,3,male : single,none,2,car or other,32,none,own,2,skilled employee/official,1,yes,yes,0,130.71428571428572,25-35,medium_term,large
no checking account,6,existing credits paid back duly till now,car (new),672,... < 100 DM,unemployed,1,female : divorced/separated/married,none,4,real estate,54,none,own,1,unemployed/unskilled - non-resident,1,yes,yes,0,112.0,over_50,short_term,smallmedium
0 <= ... < 200 DM,36,no credits taken/all credits paid back duly,domestic appliances,3804,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,car or other,42,none,own,1,skilled employee/official,1,yes,yes,1,105.66666666666667,36-50,long_term,large
... >= 200 DM / salary for at least 1 year,24,critical account/other credits existing,car (new),1344,unknown/no savings account,4 <= ... < 7 years,4,male : single,none,2,real estate,37,bank,own,2,unskilled - resident,2,no,yes,1,56.0,36-50,medium_term,smallmedium
... < 100 DM,10,critical account/other credits existing,car (new),1038,... < 100 DM,4 <= ... < 7 years,4,male : single,co-applicant,3,building society savings agreement/life insurance,49,none,own,2,skilled employee/official,1,yes,yes,0,103.8,36-50,short_term,smallmedium
no checking account,48,critical account/other credits existing,car (new),10127,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,none,2,unknown/no property,44,bank,for free,1,skilled employee/official,1,no,yes,1,210.97916666666666,36-50,very_long_term,too_much
no checking account,6,existing credits paid back duly till now,radio/television,1543,... >= 1000 DM,1 <= ... < 4 years,4,male : divorced/separated,none,2,real estate,33,none,own,1,skilled employee/official,1,no,yes,0,257.1666666666667,25-35,short_term,smallmedium
no checking account,30,existing credits paid back duly till now,car (used),4811,unknown/no savings account,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,building society savings agreement/life insurance,24,stores,rent,1,unskilled - resident,1,no,yes,0,160.36666666666667,under_25,long_term,large
... < 100 DM,12,existing credits paid back duly till now,domestic appliances,727,100 <= ... < 500 DM,... < 1 year,4,male : married/widowed,none,3,unknown/no property,33,none,own,1,unskilled - resident,1,yes,yes,1,60.583333333333336,25-35,short_term,smallmedium
0 <= ... < 200 DM,8,existing credits paid back duly till now,radio/television,1237,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,4,real estate,24,none,own,1,skilled employee/official,1,no,yes,1,154.625,under_25,short_term,smallmedium
0 <= ... < 200 DM,9,existing credits paid back duly till now,car (new),276,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,4,real estate,22,none,rent,1,unskilled - resident,1,no,yes,0,30.666666666666668,under_25,short_term,smallmedium
0 <= ... < 200 DM,48,existing credits paid back duly till now,furniture/equipment,5381,unknown/no savings account,unemployed,3,male : single,none,4,unknown/no property,40,bank,for free,1,unemployed/unskilled - non-resident,1,yes,yes,0,112.10416666666667,36-50,very_long_term,very_large
no checking account,24,existing credits paid back duly till now,radio/television,5511,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,1,car or other,25,stores,own,1,skilled employee/official,1,no,yes,0,229.625,under_25,medium_term,very_large
... >= 200 DM / salary for at least 1 year,24,existing credits paid back duly till now,radio/television,3749,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,4,car or other,26,none,own,1,skilled employee/official,1,no,yes,0,156.20833333333334,25-35,medium_term,large
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),685,... < 100 DM,4 <= ... < 7 years,2,male : married/widowed,none,3,car or other,25,bank,own,1,unskilled - resident,1,no,yes,1,57.083333333333336,under_25,short_term,smallmedium
... >= 200 DM / salary for at least 1 year,4,existing credits paid back duly till now,car (new),1494,unknown/no savings account,... < 1 year,1,male : single,none,2,real estate,29,none,own,1,unskilled - resident,2,no,no,0,373.5,25-35,short_term,smallmedium
... < 100 DM,36,all credits at this bank paid back duly,radio/television,2746,... < 100 DM,... >= 7 years,4,male : single,none,4,car or other,31,bank,own,1,skilled employee/official,1,no,yes,1,76.27777777777777,25-35,long_term,large
... < 100 DM,12,existing credits paid back duly till now,radio/television,708,... < 100 DM,1 <= ... < 4 years,2,male : single,guarantor,3,building society savings agreement/life insurance,38,none,own,1,unskilled - resident,2,no,yes,0,59.0,36-50,short_term,smallmedium
0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,4351,unknown/no savings account,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,building society savings agreement/life insurance,48,none,own,1,unskilled - resident,1,yes,yes,0,181.29166666666666,36-50,medium_term,large
no checking account,12,critical account/other credits existing,retraining,701,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,32,none,own,2,skilled employee/official,1,no,yes,0,58.416666666666664,25-35,short_term,smallmedium
... < 100 DM,15,delay in paying off in the past,radio/television,3643,... < 100 DM,... >= 7 years,1,female : divorced/separated/married,none,4,building society savings agreement/life insurance,27,none,own,2,unskilled - resident,1,no,yes,0,242.86666666666667,25-35,medium_term,large
0 <= ... < 200 DM,30,critical account/other credits existing,car (new),4249,... < 100 DM,unemployed,4,male : married/widowed,none,2,car or other,28,none,own,2,management/self-employed/highly qualified employee/officer,1,no,yes,1,141.63333333333333,25-35,long_term,large
... < 100 DM,24,existing credits paid back duly till now,domestic appliances,1938,... < 100 DM,... < 1 year,4,male : divorced/separated,none,3,building society savings agreement/life insurance,32,none,own,1,skilled employee/official,1,no,yes,1,80.75,25-35,medium_term,smallmedium
... < 100 DM,24,existing credits paid back duly till now,car (used),2910,... < 100 DM,4 <= ... < 7 years,2,male : single,none,1,unknown/no property,34,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,121.25,25-35,medium_term,large
... < 100 DM,18,existing credits paid back duly till now,radio/television,2659,... >= 1000 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,28,none,own,1,skilled employee/official,1,no,yes,0,147.72222222222223,25-35,medium_term,large
no checking account,18,critical account/other credits existing,car (new),1028,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,3,real estate,36,none,own,2,skilled employee/official,1,no,yes,0,57.111111111111114,36-50,medium_term,smallmedium
... < 100 DM,8,critical account/other credits existing,car (new),3398,... < 100 DM,4 <= ... < 7 years,1,male : single,none,4,real estate,39,none,own,2,unskilled - resident,1,no,no,0,424.75,36-50,short_term,large
no checking account,12,critical account/other credits existing,radio/television,5801,unknown/no savings account,... >= 7 years,2,male : single,none,4,building society savings agreement/life insurance,49,none,rent,1,skilled employee/official,1,yes,yes,0,483.4166666666667,36-50,short_term,very_large
no checking account,24,existing credits paid back duly till now,car (new),1525,... >= 1000 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,car or other,34,none,own,1,skilled employee/official,2,yes,yes,0,63.541666666666664,25-35,medium_term,smallmedium
... >= 200 DM / salary for at least 1 year,36,existing credits paid back duly till now,domestic appliances,4473,... < 100 DM,... >= 7 years,4,male : single,none,2,car or other,31,none,own,1,skilled employee/official,1,no,yes,0,124.25,25-35,long_term,large
0 <= ... < 200 DM,6,existing credits paid back duly till now,domestic appliances,1068,... < 100 DM,... >= 7 years,4,male : single,none,4,car or other,28,none,own,1,skilled employee/official,2,no,yes,0,178.0,25-35,short_term,smallmedium
... < 100 DM,24,critical account/other credits existing,car (used),6615,... < 100 DM,unemployed,2,male : single,none,4,unknown/no property,75,none,for free,2,management/self-employed/highly qualified employee/officer,1,yes,yes,0,275.625,over_50,medium_term,very_large
no checking account,18,critical account/other credits existing,retraining,1864,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,30,none,own,2,skilled employee/official,1,no,yes,1,103.55555555555556,25-35,medium_term,smallmedium
0 <= ... < 200 DM,60,existing credits paid back duly till now,car (new),7408,100 <= ... < 500 DM,... < 1 year,4,female : divorced/separated/married,none,2,building society savings agreement/life insurance,24,none,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,1,123.46666666666667,under_25,very_long_term,very_large
no checking account,48,critical account/other credits existing,car (used),11590,100 <= ... < 500 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,24,bank,rent,2,unskilled - resident,1,no,yes,1,241.45833333333334,under_25,very_long_term,too_much
... < 100 DM,24,no credits taken/all credits paid back duly,radio/television,4110,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown/no property,23,bank,rent,2,skilled employee/official,2,no,yes,1,171.25,under_25,medium_term,large
... < 100 DM,6,critical account/other credits existing,radio/television,3384,... < 100 DM,1 <= ... < 4 years,1,male : divorced/separated,none,4,real estate,44,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,564.0,36-50,short_term,large
0 <= ... < 200 DM,13,existing credits paid back duly till now,domestic appliances,2101,... < 100 DM,... < 1 year,2,female : divorced/separated/married,guarantor,4,building society savings agreement/life insurance,23,none,own,1,unskilled - resident,1,no,yes,0,161.6153846153846,under_25,medium_term,large
... < 100 DM,15,existing credits paid back duly till now,repairs,1275,unknown/no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,car or other,24,none,rent,1,skilled employee/official,1,no,yes,1,85.0,under_25,medium_term,smallmedium
... < 100 DM,24,existing credits paid back duly till now,radio/television,4169,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,building society savings agreement/life insurance,28,none,own,1,skilled employee/official,1,no,yes,0,173.70833333333334,25-35,medium_term,large
0 <= ... < 200 DM,10,existing credits paid back duly till now,radio/television,1521,... < 100 DM,1 <= ... < 4 years,4,male : divorced/separated,none,2,car or other,31,none,own,1,unskilled - resident,1,no,yes,0,152.1,25-35,short_term,smallmedium
0 <= ... < 200 DM,24,critical account/other credits existing,retraining,5743,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,4,unknown/no property,24,none,for free,2,skilled employee/official,1,yes,yes,0,239.29166666666666,under_25,medium_term,very_large
... < 100 DM,21,existing credits paid back duly till now,radio/television,3599,... < 100 DM,4 <= ... < 7 years,1,female : divorced/separated/married,none,4,car or other,26,none,rent,1,unskilled - resident,1,no,yes,0,171.38095238095238,25-35,medium_term,large
0 <= ... < 200 DM,18,existing credits paid back duly till now,domestic appliances,3213,500 <= ... < 1000 DM,... < 1 year,1,male : married/widowed,none,3,real estate,25,none,rent,1,skilled employee/official,1,no,yes,0,178.5,under_25,medium_term,large
0 <= ... < 200 DM,18,existing credits paid back duly till now,others,4439,... < 100 DM,... >= 7 years,1,male : single,co-applicant,1,real estate,33,bank,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,246.61111111111111,25-35,medium_term,large
... >= 200 DM / salary for at least 1 year,10,existing credits paid back duly till now,car (new),3949,... < 100 DM,... < 1 year,1,male : single,guarantor,1,building society savings agreement/life insurance,37,none,own,1,unskilled - resident,2,no,yes,0,394.9,36-50,short_term,large
no checking account,15,critical account/other credits existing,domestic appliances,1459,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,car or other,43,none,own,1,unskilled - resident,1,no,yes,0,97.26666666666667,36-50,medium_term,smallmedium
0 <= ... < 200 DM,13,critical account/other credits existing,domestic appliances,882,... < 100 DM,... < 1 year,4,male : single,guarantor,4,real estate,23,none,own,2,skilled employee/official,1,no,yes,0,67.84615384615384,under_25,medium_term,smallmedium
0 <= ... < 200 DM,24,existing credits paid back duly till now,domestic appliances,3758,500 <= ... < 1000 DM,unemployed,1,female : divorced/separated/married,none,4,unknown/no property,23,none,rent,1,unemployed/unskilled - non-resident,1,no,yes,0,156.58333333333334,under_25,medium_term,large
no checking account,6,delay in paying off in the past,others,1743,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : single,none,2,real estate,34,none,own,2,unskilled - resident,1,no,yes,0,290.5,25-35,short_term,smallmedium
